stage_cd,route_cd,dsp_cd,van_type,station_cd,route_dt,cycle_cd,loadout_tm,bags_tot,overflow_tot,packages_tot,commercial_packages_tot,bag_line_no,bag_sort_zn,bag_id,bag_pkgs,overflow_line_no,overflow_sort_zn,overflow_pkgs
STG.H.12,CX1,LDCD,Standard Parcel - Extra Large Van - US,DPP7,"TUE, NOV 28, 2023",C Y C L E _ 1,11:05 AM,17,26,252,27,1,D-26.3G,Green108,16,1,D-26.3G,5
STG.H.12,CX1,LDCD,Standard Parcel - Extra Large Van - US,DPP7,"TUE, NOV 28, 2023",C Y C L E _ 1,11:05 AM,17,26,252,27,3,D-26.2G,Green166,14,3,D-26.1G,1
STG.H.12,CX1,LDCD,Standard Parcel - Extra Large Van - US,DPP7,"TUE, NOV 28, 2023",C Y C L E _ 1,11:05 AM,17,26,252,27,4,D-26.1G,Black603,20,4,D-26.4G,1
STG.H.12,CX1,LDCD,Standard Parcel - Extra Large Van - US,DPP7,"TUE, NOV 28, 2023",C Y C L E _ 1,11:05 AM,17,26,252,27,5,D-26.4G,Green148,10,5,D-26.3E,3
STG.H.12,CX1,LDCD,Standard Parcel - Extra Large Van - US,DPP7,"TUE, NOV 28, 2023",C Y C L E _ 1,11:05 AM,17,26,252,27,6,D-26.3E,Yellow607,18,6,D-26.2E,1
STG.H.12,CX1,LDCD,Standard Parcel - Extra Large Van - US,DPP7,"TUE, NOV 28, 2023",C Y C L E _ 1,11:05 AM,17,26,252,27,7,D-26.2E,Navy508,11,7,D-26.1E,1
STG.H.12,CX1,LDCD,Standard Parcel - Extra Large Van - US,DPP7,"TUE, NOV 28, 2023",C Y C L E _ 1,11:05 AM,17,26,252,27,8,D-26.1E,Navy286,7,8,D-26.2D,2
STG.H.12,CX1,LDCD,Standard Parcel - Extra Large Van - US,DPP7,"TUE, NOV 28, 2023",C Y C L E _ 1,11:05 AM,17,26,252,27,9,D-26.3D,Navy999,14,9,D-26.1D,4
STG.H.12,CX1,LDCD,Standard Parcel - Extra Large Van - US,DPP7,"TUE, NOV 28, 2023",C Y C L E _ 1,11:05 AM,17,26,252,27,10,D-26.2D,Orange790,16,10,D-26.4D,3
STG.H.12,CX1,LDCD,Standard Parcel - Extra Large Van - US,DPP7,"TUE, NOV 28, 2023",C Y C L E _ 1,11:05 AM,17,26,252,27,11,D-26.1D,Navy396,14,11,D-26.4E,1
