stage_cd,route_cd,dsp_cd,van_type,station_cd,route_dt,cycle_cd,loadout_tm,bags_tot,overflow_tot,packages_tot,commercial_packages_tot,bag_line_no,bag_sort_zn,bag_id,bag_pkgs,overflow_line_no,overflow_sort_zn,overflow_pkgs
STG.P20.1,CX89,BELM,Standard Parcel - Extra Large Van - US,DPP7,"THU, AUG 17, 2023",C Y C L E _ 1,09:50 AM,16,31,312,89,1,C-14.3B,Orange855,20,1,C-14.3B,1
STG.P20.1,CX89,BELM,Standard Parcel - Extra Large Van - US,DPP7,"THU, AUG 17, 2023",C Y C L E _ 1,09:50 AM,16,31,312,89,2,C-14.3C,Orange987,15,2,C-14.3C,3
STG.P20.1,CX89,BELM,Standard Parcel - Extra Large Van - US,DPP7,"THU, AUG 17, 2023",C Y C L E _ 1,09:50 AM,16,31,312,89,3,C-14.2B,Orange399,13,3,C-14.2B,3
STG.P20.1,CX89,BELM,Standard Parcel - Extra Large Van - US,DPP7,"THU, AUG 17, 2023",C Y C L E _ 1,09:50 AM,16,31,312,89,4,C-14.1B,Yellow159,14,4,C-14.1B,3
STG.P20.1,CX89,BELM,Standard Parcel - Extra Large Van - US,DPP7,"THU, AUG 17, 2023",C Y C L E _ 1,09:50 AM,16,31,312,89,5,C-14.1C,Yellow654,9,5,C-14.2C,3
STG.P20.1,CX89,BELM,Standard Parcel - Extra Large Van - US,DPP7,"THU, AUG 17, 2023",C Y C L E _ 1,09:50 AM,16,31,312,89,6,C-14.2C,Green581,19,6,C-14.3A,4
STG.P20.1,CX89,BELM,Standard Parcel - Extra Large Van - US,DPP7,"THU, AUG 17, 2023",C Y C L E _ 1,09:50 AM,16,31,312,89,7,C-14.3A,Orange775,28,7,C-14.2A,2
STG.P20.1,CX89,BELM,Standard Parcel - Extra Large Van - US,DPP7,"THU, AUG 17, 2023",C Y C L E _ 1,09:50 AM,16,31,312,89,8,C-14.2A,Orange576,23,8,C-14.1A,1
STG.P20.1,CX89,BELM,Standard Parcel - Extra Large Van - US,DPP7,"THU, AUG 17, 2023",C Y C L E _ 1,09:50 AM,16,31,312,89,9,C-14.1A,Yellow030,16,9,C-13.3G,2
STG.P20.1,CX89,BELM,Standard Parcel - Extra Large Van - US,DPP7,"THU, AUG 17, 2023",C Y C L E _ 1,09:50 AM,16,31,312,89,10,C-13.3G,Orange059,22,10,C-13.3D,3
STG.P20.1,CX89,BELM,Standard Parcel - Extra Large Van - US,DPP7,"THU, AUG 17, 2023",C Y C L E _ 1,09:50 AM,16,31,312,89,11,C-13.3D,Black152,22,11,C-13.2E,1
